Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Advertising,70,4235,15676,ENG4U,Yes,N/A,No
Creating Writing,70,4235,15676,ENG4U,Yes,N/A,No
Criticism & Curatorial Practice,70,4235,15676,ENG4U,Yes,N/A,No
Cross-disciplinary Art: Life Studies,70,4235,15676,ENG4U,Yes,N/A,No
Cross-disciplinary Art: Publications,70,4235,15676,ENG4U,Yes,N/A,No
Digital Futures,70,4235,15676,ENG4U,Yes,N/A,No
Drawing & Painting,70,4235,15676,ENG4U,Yes,N/A,No
Drawing & Painting: Digital Painting And Expanded Animation,70,4235,15676,ENG4U,Yes,N/A,No
Environmental Design,70,4235,15676,ENG4U,Yes,N/A,No
Environmental Design: Interior Design Specialization,70,4235,15676,ENG4U,Yes,N/A,No
Graphic Design,70,4235,15676,ENG4U,Yes,N/A,No
Illustration,70,4235,15676,ENG4U,Yes,N/A,No
Indigenous Visual Culture,70,4235,15676,ENG4U,Yes,N/A,No
Industrial Design,70,4235,15676,ENG4U,Yes,N/A,No
Integrated Media,70,4235,15676,ENG4U,Yes,N/A,No
Integrated Media: Digital Painting And Expanded Animation,70,4235,15676,ENG4U,Yes,N/A,No
Material Art & Design,70,4235,15676,ENG4U,Yes,N/A,No
Photography,70,4235,15676,ENG4U,Yes,N/A,No
Printmaking,70,4235,15676,ENG4U,Yes,N/A,No
Sculpture/installation,70,4235,15676,ENG4U,Yes,N/A,No
Visual And Critical Studies,70,4235,15676,ENG4U,Yes,N/A,No
