Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Accounting & Finance,84,7644,25991,"ENG4U/EAE4U,MHF4U,MCV4U",Yes,400,Yes
Architectural Science,80,10153,28882,"ENG4U/EAE4U,SPH4U, One of MCV4U/MHF4U",Yes,N/A,Yes
Biology,76,7044,27279,"MHF4U/ENG4U/EAE4U,Two of SBI4U/SCH4U/SPH4U",No,N/A,Yes
Business Management,78,9135,28974,"ENG4U/EAE4U, One of MHF4U/MCV4U/MDM4U",Yes,N/A,Yes
Chemistry,73,7044,27279,"ENG4U/EAE4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes,N/A,Yes
Civil Engineering,80,10153,28882,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes,N/A,Yes
Computer Engineering,80,10153,28882,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes,N/A,No
Computer Science,82,7044,27279,"ENG4U/EAE4U,MHF4U, One of SPH4U/SCH4U/SBI4U, One of MCV4U/MDM4U",Yes,N/A,Yes
Electrical Engineering,80,10153,28882,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes,N/A,Yes
Financial Mathematics,72,7044,27279,"ENG4U/EAE4U,MHF4U,One of MCV4U/MDM4U, One of SPH4U/SCH4U/SBI4U",Yes,N/A,Yes
History,72,7046,27282,ENG4U/EAE4U,No,N/A,Yes
Image Arts: Film Studies,76,7049,27284,ENG4U/EAE4U,No,N/A,Yes
International Economics and Finance,73,7046,27282,"ENG4U/EAE4U, One of MHF4U/MCV4U/MDM4U",No,N/A,Yes
Mathematics and its Applications,72,7044,27279,"ENG4U/EAE4U,MHF4U, One of SPH4U/SCH4U/SBI4U, One of MCV4U/MDM4U",Yes,N/A,Yes
Mechanical Engineering,80,10153,28882,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes,N/A,Yes
Medical Physics,72,7044,27279,"ENG4U/EAE4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes,N/A,Yes
Nursing,90,7095,27218,"ENG4U/EAE4U,SBI4U,SCH4U, One of MCF3M/MCR3U/MCV4U/MDM4U/MHF4U",Yes,N/A,Yes
Philosophy,73,7046,27282,ENG4U/EAE4U,No,N/A,Yes
Politics and Governance,75,7046,27282,ENG4U/EAE4U,No,N/A,Yes
Psychology,83,7046,27282,ENG4U/EAE4U,No,N/A,Yes
Sociology,77,7046,27282,ENG4U/EAE4U,No,N/A,Yes
Urban and Regional Planning,75,7095,27218,"ENG4U/EAE4U,HFA4M/HHS4M/HHG4M/HSB4M/HZT4U,CIA4U,CGW4U/CGU4U/CHI4U/CHY4U/CLN4U/CPW4U,SBI4U/SCH4U/SPH4U/SES4U,MHF4U/MCV4U/MDM4U",No,N/A,Yes
