Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Anthropology,70,1316.76 per credit,2144.17 per credit,"ENG4U, One 4U math course",No, , 
Arts & Science,75,1316.76 per credit,2144.17 per credit,"ENG4U, One 4U math course",No, ,
Biology,70,1316.76 per credit,2144.17 per credit,"ENG4U,SBI4U,SCH4U, One 4U math course",No, , 
Business Administration,70,1316.76 per credit,2144.17 per credit,"ENG4U/EAE4U, One of MHF4U/MCV4U",No, , 
Chemical Physics,70,1316.76 per credit,2144.17 per credit,"ENG4U,SCH4U and MHF4U/MCV4U",No, , 
Chemistry,70,1316.76 per credit,2144.17 per credit,"ENG4U,SCH4U and MHF4U/MCV4U",No, , 
Computer Science,70-80,1316.76 per credit,2144.17 per credit,"ENG4U, One 4U math course",Yes if average above 80,12, 
Conservation Biology,75,1316.76 per credit,2144.17 per credit,"ENG4U,MHF4U/MCV4U,SCH4U and SBI4U",Yes,25, 
Economics,70,1316.76 per credit,2144.17 per credit,"ENG4U, One 4U math course",No, , 
Environmental & Resource Science / Studies,70,1316.76 per credit,2144.17 per credit,"OSSD ENG4U,SBI4U,SCH4U, One 4U math course",No, , 
Environmental Chemistry,70,1316.76 per credit,2144.17 per credit,"ENG4U,ENG4U,SCH4U,MHF4U/MCV4U",No, , 
Financial Analytics,72-74,1316.76 per credit,2144.17 per credit,"ENG4U,MHF4U/MCV4U",No, , 
Forensic Science,75,1316.76 per credit,2144.17 per credit,"ENG4U,SBI4U,SCH4U,MHF4U/MCV4U",No,80, 
Kinesiology,70,1316.76 per credit,2144.17 per credit,"ENG4U,SBI4U,SCH4U, One of MHF4U/MCV4U/MDM4U",No,60, 
Mathematics,70,1316.76 per credit,2144.17 per credit,"ENG4U,MHF4U/MCV4U",No, , 
Nursing,75,1316.76 per credit,2144.17 per credit,"ENG4U,SBI4U,SCH4U, One 4U math course",No,120, 
Physics,70,1316.76 per credit,2144.17 per credit,"ENG4U,MHF4U/MCV4U",No, , 
Philosophy,70,1316.76 per credit,2144.17 per credit,"ENG4U, One 4U math course",No, , 
Psychology,70,1316.76 per credit,2144.17 per credit,"OSSD,ENG4U, One 4U math course",No, , 
Science (Honours),70,1316.76 per credit,2144.17 per credit,"OSSD,ENG4U",No, , 
Sociology,70,1316.76 per credit,2144.17 per credit,"OSSD,ENG4U",No, , 
Sustainable Agriculture & Food Systems,70,1316.76 per credit,2144.17 per credit,"ENG4U,SBI4U, One 4U math course",No, , 
