Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Actuarial Science,77,6981,29496,"ENG4U/MHF4U,four additional 4U or M courses",No,N/A,No
African Studies,85,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Antropology,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Applied Mathematics (BA),80,6981,29496,ENG4U/MHF4U,No,N/A,No
Applied Mathematics (BSc),80,6981,29496,"ENG4U,MHF4U, SBI4U/CH4U/SPH4U",No,N/A,No
Art History,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Bachelor of Education,70,6981,29496,ENG4U,No,N/A,No
Biochemistry,82,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U, MCV4U, one 4U or M courses",Yes,N/A,No
Biology,82,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U, two additional 4U or M ",No,N/A,No
Biomedical Science,82,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U , two additional 4U or M courses",No,N/A,No
Biophysics,80,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U, MCV4U",No,N/A,No
Biotechnology,82,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U",Yes,N/A,No
Business and Society,75,9653,31483,"ENG4U, five additional 4U or M courses",No,N/A,No
Business Administration,90,9653,31483,"ENG4U, MHF4U, MCV4U/MDM4U, Three 4U or M courses",No,N/A,No
Business and Economics,77,9653,31483,"ENG4U, MHF4U",No,N/A,No
Canadian Studies,77,6981,29496,"ENG4U/FRA4U, Five more 4U or M courses",No,N/A,No
Chemistry,80,6981,29496,"ENG4U, MHF4U, SCH4U, One 4M/U science",Yes,N/A,No
Children Childhood and Youth,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Cinema and Media Studies,75,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Civil Engineering,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
Computer Engineering,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
Electrical Engineering,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
Engineering and International Development Studies,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
Geomatics Engineering,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
Mechanical Engineering,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
Software Engineering,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
Space Engineering,82,10550,35419,"ENG4U, SCH4U, SPH4U, MHF4U, MCV4U",Yes,N/A,No
