Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Acting,70,5800,24680,"ENG4U required, audition. Auditions for Acting are held in Windsor and Toronto.(* Average over six Grade 12 academic courses.)",No,N/A,No
Aeronautics Leadership,70,5800,24680,"ENG4U required, one of SPH4U or MHF4U or MCV4U or MDM4U.",No,N/A,No
Behaviour Cognition and Neuroscience,70,5972,26250,"ENG4U required, one of SPH4U or MHF4U or MCV4U or MDM4U.",No,N/A,No
BioChemistry,70,5972,26250,"ENG4U, MHF4U, SCH4U and SBI4U. MCV4U is strongly recommended. SPH4U is recommended. A minimum 70% average of all attempted science and math courses is also required. Biochemistry students may apply to co-op internship in Year 3; there is no direct admission from high school",Yes,N/A,No
Health and Biomedical Stream,75,5972,26250,"ENG4U, MHF4U, SCH4U and SBI4U. SPH4U is recommended. A minimum 75% average of all attempted science and math courses is also required, excluding MDM4U",No,N/A,No
Interdisciplinary Arts and Science,85,5972,26250,"ENG4U, MHF4U, and two from SBI4U, SCH4U, or SPH4U. MCV4U is strongly recommended.",No,N/A,No
Molecular Biology and Biotechnology,75,5972,26250,"ENG4U, MHF4U, SCH4U and SBI4U. MCV4U is strongly recommended. SPH4U is recommended. A minimum 70% average of all attempted science and math courses is also required, excluding MDM4U.",No,N/A,No
General Science,70,5972,26250,"ENG4U, MHF4U, and two of SCH4U, SBI4U or SPH4U. MCV4U is strongly recommended. A minimum 70% average of all attempted science and math courses is also required",No,N/A,No
Business Administration,73,8764,27300,ENG4U and one Grade 12U Mathematics required. A minimum grade of 70% in at least one grade 12U Math course (or equivalent) is also normally required,Yes,N/A,No
Business and Computer Science,73,8764,27300,ENG4U and MHF4U are required. MCV4U is strongly recommended. A minimum 70% average of math courses is also required. A minimum grade of 70% in at least one grade 12 U Math course (or equivalent) is also normally required.,Yes,N/A,No
Business and Administration and Economics,73,8764,27300,ENG4U and MHF4U are required. MCV4U is strongly recommended. A minimum grade of 70% in at least one Grade 12 U math course (or equivalent) is also normally required.,No,N/A,No
Business and Administration and Mathematics,73,8764,27300,"ENG4U, MHF4U and MCV4U are required. A minimum grade of 70% is required in the required Grade 12 Mathematics courses.",No,N/A,No
Business and Administration and Psycology,73,8764,27300,ENG4U and one Grade 12 U Mathematics required. A minimum grade of 70% in at least one grade 12U Math course (or equivalent) is also normally required.,No,N/A,No
Chemistry,70,5972,26250,"ENG4U, SCH4U, MHF4U, plus one of SPH4U or SBI4U. MCV4U is strongly recommended. SPH4U is recommended. A minimum 70% average of all attempted science and math courses is required. Chemistry students may apply to co-op internship in Year 3; there is no direct admission from high school. Entry is competitive",Yes,N/A,No
Civil Engineering,74,9509,30330,"ENG4U, MHF4U, SCH4U and SPH4U required. MCV4U is strongly recommended. A minimum average of 74% in all math and science courses except biology is also required",Yes,N/A,No
Communication Media and Film,70,5800,24680,ENG4U required,No,N/A,No
Concurrent Communication Media and Film(BA),75,6108,24680,ENG4U required,No,N/A,No
Drama and Communication Media and Film,70,5800,24680,ENG4U required,No,N/A,No
Visual Arts and Communication Media and Film(Studio Arts),70,5800,24680,ENG4U required,No,N/A,No
Visual Arts and Communication Media and Film(Film Production and Media Arts),70,5800,24680,ENG4U required,No,N/A,No
Computer Science(BCS),70,9024,26750,"ENG4U, and MHF4U. MCV4U is strongly recommended. A minimum 70% average of math courses is also required. Co-op programs: 75% + 70% average in all attempted Math courses, excluding MDM4U",Yes,N/A,No
Computer Science(BCS) (Applied Computing),70,9024,26750,"ENG4U, and MHF4U. MCV4U is strongly recommended. A minimum 70% average of math courses is also required. Co-op programs: 75% + 70% average in all attempted Math courses, excluding MDM4U",Yes,N/A,No
Computer Science(BCS) (Software Engineering Specialization),75,9024,26750,"ENG4U, and MHF4U. MCV4U is strongly recommended. A minimum 70% average of math courses is also required. Co-op programs: 75% + 70% average in all attempted Math courses, excluding MDM4U",Yes,N/A,No
Computer Science(BCS) (Computer Information Systems),75,9024,26750,"ENG4U, and MHF4U. MCV4U is strongly recommended. A minimum 70% average of math courses is also required. Co-op programs: 75% + 70% average in all attempted Math courses, excluding MDM4U",Yes,N/A,No
Criminology,70,5800,24680,ENG4U required,No,N/A,No
Sociology and Criminology,70,5800,24680,ENG4U required,No,N/A,No
Disability Studies,70,5800,24680,ENG4U required,No,N/A,No
Social Work and Disability Studies(BSW),70,5800,24680,ENG4U required. Social Work students re-apply for admission to Year 3.,No,N/A,No
Disability Studies and Psycology,70,5800,24680,ENG4U required,No,N/A,No
Drama,70,5800,24680,ENG4U required,No,N/A,No
Drama in Education and Community (Applied Theatre),70,5800,24680,ENG4U required. Interview for Drama in Education and Community. Please contact Dramatic Art at ext. 2804 or visit uwindsor.ca/drama,No,N/A,No
Drama(BA) / Concurrent Education (BEd),75,6108,24680,"ENG4U required. Admission to first year only. For admission to the program, students will be selected based on a successful workshop/interview process",No,N/A,No
Economics (BA),70,5792,26250,ENG4U is required. MHF4U is required for Honours Economics. MCV4U and MDM4U are strongly recommended for the Honours Economics.,No,N/A,No
Economics (BSc),70,5792,26250,"ENG4U, MHF4U are required. MCV4U and MDM4U are strongly recommended. A minimum 70% average of all attempted science and math courses is also required.",No,N/A,No
Education,70,5800,24680,For candidates with an existing degree.,No,N/A,No
Electrical Engineering,74,9509,30330,"ENG4U, MHF4U, SCH4U and SPH4U required. MCV4U is strongly recommended. A minimum average of 74% in all math and science courses except biology is also required.",Yes,N/A,No
Bachelor of Engineering Technology,70,9509,30330,"Normally at least a 70% average from your completed college diploma or equivalent. Because of the limited number of seats available, a 75% average is recommended.",No,N/A,No
English,70,5800,24680,ENG4U required,No,N/A,No
English and Creative Writing,70,5800,24680,ENG4U required. EWC4U recommended for Creative,No,N/A,No
English and Concurrent Education(Ed),75,6108,24680,ENG4U required. Admission to first year only,No,N/A,No
Environment Engineering ,74,9509,30330,"ENG4U, MHF4U, SCH4U and SPH4U required. MCV4U is strongly recommended. A minimum average of 74% in all math and science courses except biology is also required.",Yes,N/A,No
Environment Science,70,5972,26250,"ENG4U, MHF4U, SCH4U, and SBI4U required. SPH4U recommended. MCV4U strongly recommended. 70% average in all attempted Science and Math courses.",No,N/A,No
Environment Studies,70,5972,26250,ENG4U required,No,N/A,No
Family and Social Relations,70,5800,24680,ENG4U required,No,N/A,No
Forensic Science (BFS),70,5972,26250,"ENG4U, SBI4U, SCH4U and MHF4U. MCV4U is recommended and SPH4U is strongly recommended. A minimum 70% average of all required science and math courses is also required.",No,N/A,No
Forensic Science (BA),70,5972,26250,"ENG4U, SBI4U and MHF4U. MCV4U is strongly recommended. A minimum 70% average of all required science and math courses is also required.",No,N/A,No
French Studies,70,5800,24680,ENG4U required and any Grade 12U French.,No,N/A,No
French Studies and Concurrent Education (BEd),75,6108,24680,ENG4U required. Grade 12U French with a minimum 75% also required. Admission to first year only.,No,N/A,No
General Engineering,74,9509,30330,"ENG4U, MHF4U, SCH4U and SPH4U required. MCV4U is strongly recommended. A minimum average of 74% in all math and science courses except biology is also required.",No,N/A,No
Greek and Roman Studies,70,5800,24680,ENG4U required,No,N/A,No
History,70,5800,24680,ENG4U required,No,N/A,No
History and Concurrent Education (BEd),75,6108,24680,ENG4U required. Admission to first year only.,No,N/A,No
Industrial Engineering,74,9509,30330,"ENG4U, MHF4U, SCH4U and SPH4U required. MCV4U is strongly recommended. A minimum average of 74% in all math and science courses except biology is also required.",Yes,N/A,No
Integrative Biology,75,5972,26250," ENG4U, MHF4U, SCH4U and SBI4U. MCV4U is strongly recommended. SPH4U is recommended. A minimum 70% average of all attempted science and math courses is also required, excluding MDM4U.",No,N/A,No
International Relations and Development Studies,70,5800,24680,ENG4U required,No,N/A,No
Kinesiology Movement Science,75,5800,24680,"ENG4U and SBI4U required. Specializations begin in third year in Movement Science or Sport Management. In addition to the best six averages, a minimum grade of 70% in each of grade 12U English and Biology is required. Co-op available; apply during Year 1.",No,N/A,No
