Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolment,Supplementary_Application
Accounting,mid-high 80,6476,23861,"ENG4U, Two 4U maths",Yes,N/A,No
Applied Linguistics,mid 70,6476,23861,ENG4U,No,N/A,No
Biochemistry,mid 70,6476,23861,"MHF4U,MCV4U,SCH4U,Two of SBI4U/SPH4U/SES4U/Second 4U Math/ENG4U",Yes,N/A,No
Biological Sciences,mid 70,6476,23861,"MHF4U,MCV4U,SCH4U,Two of SBI4U/SPH4U/SES4U/Second 4U Math/ENG4U",Yes,N/A,No
Biomedical Sciences ,high 70,6476,23861,"MHF4U,MCV4U,SCH4U,Two of SBI4U/SPH4U/SES4U/Second 4U Math/ENG4U",Yes,N/A,No
Biophysics,mid 70,6476,23861,"MHF4U,MCV4U,SCH4U,Two of SBI4U/SPH4U/SES4U/Second 4U Math/ENG4U",Yes,N/A,No
Biotechnology,high 70,6476,23861,"MHF4U,MCV4U,SCH4U,Two of SBI4U/SPH4U/SES4U/Second 4U Math/ENG4U",Yes,N/A,No
Business Administration,high 70 - low 80,6476,23861,"ENG4U, Two 4U maths",Yes,N/A,No
Business Administration Co-op International Dual Degree,high 80 - low 90,6476,23861,"ENG4U, Two 4U maths",Yes,N/A,No
Business Communication,high 70,6476,23861,ENG4U,No,N/A,No 
Business Economics,mid 70,6476,23861,"ENG4U,MHF4U,MCV4U",Yes,N/A,No
Canadian Studies,mid 70,6476,23861,ENG4U,No,N/A,No
Chemistry,mid 70,6476,23861,"MHF4U,MCV4U,SCH4U,Two of SBI4U/SPH4U/SES4U/Second 4U Math/ENG4U",Yes,N/A,No
Child and Youth Studies ,high 70,6476,23861,ENG4U,No,N/A,No
Child Health,mid 70,6476,23861,"ENG4U, SBI4U",No,N/A,No
Classics ,mid 70,6476,23861,ENG4U,No,N/A,No
Community Health,mid 70,6476,23861,"ENG4U, One of SBI4U/SCH4U",No,N/A,No
Computer Science,high 70,6476,23861,"ENG4U, One of MHF4U/MCV4U",Yes,N/A,No
Computer Science and Mathematics ,high 70,6476,23861,"ENG4U,MHF4U,MCV4U",Yes,N/A,No
Computing and Business ,high 70,6476,23861,"ENG4U,MHF4U,A Second 4U Math ",Yes,N/A,No
Computing and Network Communications,high 70,6476,23861,"ENG4U,MHF4U,MCV4U",Yes,N/A,No
Computing and Solid-State Device Technology,high 70 ,6476,23861,"ENG4U,SPH4U,One of MHF4U/MCV4U",Yes,N/A,No
Concurrent Teacher Education,low - mid 80,6476,23861,"ENG4U, one 4U Math. Depends on Specialization",No,N/A,No
Critical Criminology,mid 70,6476,23861,ENG4U,No,N/A,No
Dramatic Arts,high 70,6476,23861,"ENG4U, Attendance at DART Invitational",Yes,N/A,No
Early Childhood Education,N/A,6476,23861,Graduate of two-year Early Childhood Education diploma from Ontario college with overall 75% average,No,N/A,No
Earth Sciences,mid 70,6476,23861,"MHF4U/MCV4U,SCH4U,Two from SBI4U/SPH4U/SES4U/Second 4U Math or ENG4U",Yes,N/A,No
Economics ,mid 70,6476,23861,"ENG4U,MHF4U/MCV4U",Yes,N/A,No
English Language and Literature,mid 70,6476,23861,ENG4U,No,N/A,No
Environmental Geoscience,mid 70,6476,23861,ENG4U,Yes,N/A,No
Film Studies,mid 70,6476,23861,ENG4U,No,N/A,No
French Studies,mid 70,6476,23861,ENG4U  ,No,N/A,No
Game Design,high 70,6476,23861,ENG4U,No,N/A,Yes
Game Programming,high 70 - low 80,6476,23861,ENG4U,No,N/A,Yes
General Humanities ,mid 70 ,6476,23861,ENG4U,No,N/A,No
Geography,mid 70,6476,23861,"ENG4U,MHF4U/MCV4U,SBI4U/SPH4U/SCH4U/SES4U",Yes,N/A,No
Hispanic and Latin American Studies ,mid 70 ,6476,23861,ENG4U,No,N/A,No
History,high 70,6476,23861,ENG4U,Yes,N/A,No
Interactive Arts and Science,mid70,6476,23861,ENG4U  ,No,N/A,No
International Political Economy,mid 70,6476,23861,"ENG4U,MHF4U/MCV4U",No,N/A,No
Italian Studies,mid 70 ,6476,23861,ENG4U,No,N/A,No
Kinesiology,low 80,6476,23861,"ENG4U,SBI4U,One 4U Math",No,N/A,No
Labour Studies ,mid 70 ,6476,23861,ENG4U,Yes,N/A,No
Mathematics and Statistics ,mid 70,6476,23861,"MHF4U,MCV4U",Yes,N/A,No
Media and Communication Studies ,mid 70,6476,23861,ENG4U,No,N/A,No
Medical Sciences ,mid 80 ,6476,23861,"ENG4U,SBI4U,SCH4U,One 4U Math",No,N/A,No
Medieval and Renaissance Studies ,mid 70 ,6476,23861,ENG4U,No,N/A,No
Music,mid 70,6476,23861,ENG4U  ,No,N/A,Yes 
Nursing ,low 90,6476,23861,"ENG4U,SBI4U,SCH4U,One 4U Math",No,N/A,Yes
Oenology and Viticulture,mid 70,6476,23861,"MHF4U/MCV4U,SCH4U,Two from SBI4U/SPH4U/SES4U/Second 4U Math or ENG4U",Yes,N/A,No 
Philosophy,mid 70,6476,23861,ENG4U,No,N/A,No
Physical Education,mid 70,6476,23861,"ENG4U,SBI4U,One 4U Math",No,N/A,No
Physics,mid 70,6476,23861,"ENG4U,SPH4U",Yes,N/A,No
Political Science,high 70,6476,23861,ENG4U,Yes,N/A,No
