Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolment,Supplementary_Application
Arts and Humanities,Low to Mid 80s,"7,704.05","33,332.05",ENG4U,No,N/A,N/A
Fine Arts and Studio,Low 80s,"7,704.05","33,332.05",ENG4U,No,N/A, An online portfolio and persona statement.
Engineering,High 80s,"14,048.05","43,702.05","ENG4U,MHF4U,MCV4U,SCH4U, SPH4U",Yes,N/A,N/A
Health Science,High 80s,"7,754.05","33,382.05","ENG4U, SBI4U
And one of: MHF4U, MCV4U, MDM4U",No,N/A,N/A
Kinesilogy,Mid 80s,"7,754.05","33,382.05","ENG4U, SBI4U, SCH4U",No,N/A,N/A
Nursing - Western Site,High 80s to Low 90s,"7,754.05","42,176.05","65% in each of: ENG4U,	SBI4U, Chemistry,
And 65% in one of:
MCF3M, MCR3U",No,N/A,N/A
Nursing - Fanshawe Site,High 80s to Low 90s,"7,754.05","42,176.05","65% in each of: ENG4U,	SBI4U, Chemistry,
And 65% in one of:
MCF3M, MCR3U",No,N/A,N/A
"Media, Information and Technology",Low to Mid 80s,"7,704.05","33,332.05",ENG4U,No,N/A,N/A
Music (BMUS),Low 80s,"7,754.05","33,382.05",ENG4U,No,N/A,"Audition, Interview, Piano
Proficiency and Theory
Placement requirements
for each program can be
found online"
Music (BA),Low 80s,"7,754.05","33,382.05",ENG4U,No,N/A,"Audition, Interview, Piano
Proficiency and Theory
Placement requirements
for each program can be
found online"
Music Administrative Studies (BA),Low 80s,"7,754.05","33,382.05","ENG4U                                                 And one of:                                        MHF4U, MCV4U, MDM4U",No,N/A,"Audition, Interview, Piano
Proficiency and Theory
Placement requirements
for each program can be
found online"
Medical Science,Low 90s,"7,729.05","33,357.05","ENG4U, MCV4U, SBI4U, SCH4U",No,N/A,N/A
Science,Mid 80s,"7,729.05","33,357.05","ENG4U, MCV4U                                                 And two of:
MHF4U, SBI4U, SCH4U, SPH4U, SES4U
ICS4U",No,N/A,N/A
Food and Nutrition,Mid to High 80s,"7,729.05","33,357.05","ENG4U, SBI4U, SCH4U.                     And one of:                                     MCF3M, MCR3U",No,N/A,N/A
Social Science,Mid 80s,"7,704.05","33,332.05",ENG4U,No,N/A,N/A
Management and Organizational Studies,Mid to High 80s,"7,704.05","33,332.05","ENG4U
And two of:                                      MHF4U, MCV4U, MCV4U",No,N/A,N/A
Commercial Aviation Management,Low to Mid 80s,"7,704.05","33,332.05","ENG4U
And two of:                                      MHF4U, MCV4U, MCV4U",No,N/A," Mandatory Supplementary
Application is required
Flight Option:
• A valid Transport Canada
Category 1 Medical Certificate
is required before flight training
can begin.
• Two hours of small aircraft
flying time is highly
recommended.
• Physics SPH4U is
recommended."
