Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Actuarial Science,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U
 MHF4U
 And four additional 4U or M courses",No,N/A,N/A
African Studies,Mid 80s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Antropology,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Applied Mathematics (BA),High 70s to Low 80s,"6,980.70","29,495.70","ENG4U
 MHF4U
 And four additional 4U or M courses",No,N/A,N/A
Applied Mathematics (BSc),High 70s to Low 80s,"6,980.70","29,495.70","ENG4U
MHF4U                                                            SBI4U or SCH4U or SPH4U
 And three additional 4U or M courses",No,N/A,N/A
Art History,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Bachelor of Education,N/A,"6,980.70","29,495.70",Supplementary Application,No,N/A,"Experience profile
Experience summary
Personal statement
Letter of recommendation
"
Biochemistry,Low to Mid 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U, MCV4U
And one additional 4U or M courses:
SPH4U (recommendation)",Yes,N/A,N/A
Biology,Low to Mid 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U   And two additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Biomedical Science,Low to Mid 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U   And two additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Biophysics,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U, MCV4U
And one additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Biotechnology,Low to Mid 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U   And two additional 4U or M courses:
SPH4U (recommendation)",Yes,N/A,N/A
Business and Society,Mid 70s,"9,653.40","31,483","ENG4U, five additional 4U or M courses",No,N/A,N/A
Business Administration,High 80s to Low 90s,"9,653.40","31,483","ENG4U (minimum grade of 70% required)
MHF4U (minimum grade of 70% required)
MCV4U or MDM4U (MCV4U recommended)
And three additional 4U or M courses (no more than two 4M courses)",No,N/A,"leadership profile, video interview and timed writing exercise"
Business and Economics,Mid to High 70s,"9,653.40","31,483","ENG4U, MHF4U
And four additional 4U or M courses: MCV4U (recommendation)",No,N/A,N/A
Canadian Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U or FRA4U
And five additional 4U or M courses:
4U French (recommendation)",No,N/A,N/A
Chemistry,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, MHF4U, SCH4U
One additional 4U or M science
And two additional 4U or M courses:
MCV4U, SPH4U (recommendation)",Yes,N/A,N/A
"Children, Childhood and Youth",Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Cinema and Media Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Civil Engineering,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Computer Engineering,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Electrical Engineering,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Engineering and International Development Studies,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Geomatics Engineering,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Mechanical Engineering,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Software Engineering,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Space Engineering,Low to Mid 80s,"10,550.40","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Classical Studies and Classics,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Cognitive Science,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Commerce,Low 80s,"9,595.80","31,424","ENG4U
MHF4U
And four additional 4U or M courses",No,N/A,N/A
Communication Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Computer Science,Low to Mid 80s,"9,595.80","28,437","ENG4U, MHF4U
4U math (MCV4U recommended)
And three additional 4U or M courses
A minimum math average of 75% and no math grade below 65%",No,N/A,N/A
Computer Security,Low to Mid 80s,"9,595.80","28,437","ENG4U, MHF4U
4U math (MCV4U recommended)
And three additional 4U or M courses
A minimum math average of 75% and no math grade below 65%",No,N/A,N/A
Criminology,Low 80s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Culture and Expression,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Dance,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,Required
Design,Mid 80s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,Required
Digital Media,Mid 70s,"6,980.70","29,495.70","ENG4U
 4U math (minimum grade of 75% required)
And four additional 4U or M courses:
4M arts (recommendation)",No,N/A,N/A
Disaster and Emergency Management,Mid 70s,"6,980.70","29,495.70","ENG4U, MHF4U or MDM4U
And four additional 4U or M courses",No,N/A,N/A
Drama Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U or FRA4U
And five additional 4U or M courses:
4U French (recommendation)",No,N/A,N/A
Earth and Atmospheric Science,Mid to High 70s,"6,980.70","29,495.70","ENG4U, SPH4U, MHF4U, MCV4U
And two additional 4U or M courses:
SCH4U (Highly recommended)
",No,N/A,N/A
East Asian Studeis,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Economics,Mid to High 70s,"6,980.70","29,495.70","ENG4U, MHF4U
And four additional 4U or M courses: MCV4U (recommendation)",No,N/A,N/A
Ecosystem and Management,Mid to High 70s,"6,980.70","29,495.70","ENG4U
Grade 12, 4U Mathematics is recommended
And five additional 4U or M courses",No,N/A,N/A
Educational Studeis,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
English,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
English and Professional Writing,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
English Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U or FRA4U
And five additional 4U or M courses:
4U French (recommendation)",No,N/A,N/A
Environmental Biology,Low to Mid 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U
And two additional 4U or M courses:
SPH4U (recommendation)",Yes,N/A,N/A
Environmental Science (Life Science),High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, MHF4U, SBI4U, SCH4U
And two additional 4U or M courses:
SPH4U (recommendation)
",Yes,N/A,N/A
Environmental Science (Physical Science),High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
 And one additional 4U or M courses",Yes,N/A,N/A
Environmental Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Environmental Technology,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Film Production,Mid 80s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,Required
Media Arts,Mid 80s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,Required
Screen Writing,Mid 80s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,Required
Financial and Business Economics,Mid 70s,"6,980.70","29,495.70","ENG4U, MHF4U
And four additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
French Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Gender and Women’s Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Geography (Liberal Arts),Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Geography (Science),High 70s to Low 80s,"6,980.70","29,495.70","ENG4U
4U math (MHF4U recommended)
SCH4U or SPH4U
And three additional 4U or M courses",No,N/A,N/A
Geography and Urban Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
German Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Global Health,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, 4U math
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses",No,N/A,N/A
Global Political Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Health and Society,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Health Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Hellenic Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
History,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Human Resources Management,Mid to High 70s,"6,980.70","29,495.70","ENG4U, 4U math
And four additional 4U or M courses",No,N/A,N/A
Human Rights and Equality Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Humanities,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Indigenous Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Individualized Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Information Technology,Mid to High 70s,"6,980.70","29,495.70","ENG4U, 4U math
And four additional 4U or M courses",No,N/A,N/A
Integrated Science,Mid 80s,"6,980.70","29,495.70","ENG4U, MHF4U, MCV4U
Biology and Chemistry and Physics (two must be at the Grade 12 level, one can be at the Grade 11 level)
And a minimum of six academic Grade 12 U/M subjects
",No,N/A,N/A
Interdisciplinary Social Science,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
International Development,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
International Development Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
International Studies & Business Administration,Mid to High 70s,"9,653.40","31,483","ENG4U or FRA4U
MHF4U
MCV4U or MDM4U
And three additional 4U or M courses:
4U French (recommendation)
No prerequisite below 70%
 No more than two 4M courses will be considered.",No,N/A, A Bilingual Digital Portfolio and interview is also required.
Italian Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Jewish Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Kinesiology and Health Science,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, 4U math
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses",No,N/A,N/A
Law and Society,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Linguistics,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Mathematical Biology,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U, MCV4U
And one additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Mathematics,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, MHF4U
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Mathematics for Education,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, MHF4U
And four additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Music ,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,Required
Neuroscience,Low to Mid 80s,"6,980.70","29,495.70","ENG4U, SBI4U, SCH4U, MHF4U
And two additional 4U or M courses",No,N/A,N/A
Nursing: Collaborative,Mid to High 70s,"6,980.70","29,495.70","ENG4U, 4U math, SBI4U, SCH4U or SPH4U
And two additional 4U or M courses
No prerequisite below 70%",No,N/A,N/A
Philosophy,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Physics and Asotronomy,High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, SPH4U, MHF4U, MCV4U
And two additional 4U or M courses:
SCH4U (recommendation)",No,N/A,N/A
Political Science,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Portuguese & Luso-Brazilian Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Professional Writing,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Psychology (BA),Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Psychology (BSc),Mid to High 70s,"6,980.70","29,495.70","ENG4U, 4U math, SCH4U or SPH4U And three additional 4U or M courses",No,N/A,N/A
Public Administration,Mid 70s,"6,980.70","29,495.70","ENG4U, 4U math
And four additional 4U or M courses",No,N/A,N/A
Religious Studies,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Sexuality Studies,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Social Work,Mid 80s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Sociology,Mid to High 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Spanish,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,N/A
Statistics (BA),High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, MHF4U
And four additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Statistics (BSc),High 70s to Low 80s,"6,980.70","29,495.70","ENG4U, MHF4U
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
Theatre,Mid 70s,"6,980.70","29,495.70","ENG4U, five additional 4U or M courses",No,N/A,Required
Translation,Mid to High 70s,"6,980.70","29,495.70","4U English (ENG4U, EAE4U or equivalent)
4U French (FRA4U, FIF4U, FEF4U or equivalent)
And four additional 4U or M courses",No,N/A,N/A
