Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Accounting, ,6091,24300-33551,"ENG4U, MHF4U, one additional 4U Math",Yes, ,Yes
Animal Biology, ,6091,24300-33551,"ENG4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",No, ,Yes
Art History, ,6091,24300-33551,"ENG4U",No, ,Yes
Biological Engineering, ,6091,24300-33551,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
Biomedical Engineering,73-77,6091,24300-33551,"ENG4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
Computer Engineering, ,6091,24300-33551,"ENG4U,MHF4U,MCV4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
Computer Science, ,6091,24300-33551,"ENG4U, MCV4U",Yes, ,Yes
Criminal Justice and Public Policy, ,6091,24300-33551,ENG4U,No, ,Yes
Environmental Engineering, ,6091,24300-33551,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U, One additional 4U or 4M course",Yes, ,Yes
Environmental Management, ,6091,24300-33551,"ENG4U,SBI4U",No, ,Yes
Equine Management, ,6091,24300-33551,"ENG4U,SBI4U",No, ,Yes
Food and Agricultural Busines, ,6091,24300-33551,"ENG4U,MHF4U, One additional 4U Math",Yes, ,Yes
Food Industry Management, ,6091,24300-33551,"ENG4U,MHF4U,SBI4U,SCH4U ",Yes, ,Yes
Human Kinetics, ,6091,24300-33551,"ENG4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",No, ,Yes
Management, ,6091,24300-33551,"ENG4U,MHF4U, One additional 4U Math",Yes, ,Yes
Marketing Management, ,6091,24300-33551,"ENG4U,MHF4U, One additional 4U Math",Yes, ,Yes
Mechanical Engineering, ,6091,24300-33551,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
Software Engineering, ,7046-7126,27282-27627,"ENG4U,MCV4U",Yes, ,Yes
Water Resources Engineering, ,7046-7126,27282-27627,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
