Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Art,Min70,6937.2,1932.3/3 units,ENG4U/EAE4U/NBE4U,No,Open enrolment,N/A
Biology,Min70,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U, SBI4U,SCH4U, one of MCV4U/MHF4U",No,Open enrolment,N/A
Business,Min70,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U,Two 4U maths recommended",Yes,Open enrolment,N/A
Chemistry,Min70,7571.31,1932.3/3 units,Two 4U maths recommended,No,Open enrolment,N/A
Commerce,70,8730.84,1932.3/3 units,ENG4U/EAE4U/NBE4U,No,Open enrolment,N/A
Computer Science,Min70,8730.84,1932.3/3 units,"ENG4U/EAE4U/NBE4U, MCV4U, one other 4U math, one of SBI4U/SCH4U/SPH4U",No,Open enrolment,N/A
Criminal Justice,Min75,7571.31,1932.3/3 units,ENG4U/EAE4U/NBE4U,No,Open enrolment,N/A
Education,75,6620.94,1932.3/3 units,ENG4U/EAE4U/NBE4U,Yes,Open enrolment,N/A
Environment,Min70,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U, 4U math, one of SCH4U/SPH4U",No,Open enrolment,N/A
History,Min80,7571.31,1932.3/3 units,ENG4U/EAE4U/NBE4U,No,Open enrolment,N/A
Liberal Science,Min70,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U, two of SCH4U/SPH4U/4U math",No,Open enrolment,N/A
Mathematics,Min70,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U, MCV4U, MHF4U, one of SBI4U/SCH4U/SPH4U",No,Open enrolment,N/A
Nursing,Mid80,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U, SBI4U,SCH4U, one of MCV4U/MHF4U",No,96,N/A
Physical and Health Education,Min70,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U, SBI4U/PSK4U,SCH4U and one of MCV4U/MHF4U recommended",No,120,N/A
Psychology,Min70,7571.31,1932.3/3 units,"ENG4U/EAE4U/NBE4U, 4U math, one of SCH4U/SPH4U/SBI4U",No,Open enrolment,N/A
Social Science,Min70,7571.31,1932.3/3 units,ENG4U/EAE4U/NBE4U,No,Open enrolment,N/A
Economics,Min70,8730.84,1932.3/3 units,"ENG4U/EAE4U/NBE4U, one of 4U math",No,Open enrolment,N/A
,,,,,,In total 3500,
