Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Accounting,70,6091,24300,"ENG4U, MHF4U, one additional 4U Math",Yes,N/A,Yes
Animal Biology,70,6091,24300,"ENG4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",No,N/A,Yes
Art History,70,6091,24300,ENG4U,No,N/A,Yes
Biological Engineering,70,6091,24300,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes,N/A,Yes
Biomedical Engineering,70,6091,24300,"ENG4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes,N/A,Yes
Computer Engineering,70,6091,24300,"ENG4U,MHF4U,MCV4U, Two of SBI4U/SCH4U/SPH4U",Yes,N/A,Yes
Computer Science,70,6091,24300,"ENG4U, MCV4U",Yes,N/A,Yes
Criminal Justice and Public Policy,70,6091,24300,ENG4U,No,N/A,Yes
Environmental Engineering,70,6091,24300,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U, One additional 4U or 4M course",Yes,N/A,Yes
Environmental Management,70,6091,24300,"ENG4U,SBI4U",No,N/A,Yes
Equine Management,70,6091,24300,"ENG4U,SBI4U",No,N/A,Yes
Food and Agricultural Busines,70,6091,24300,"ENG4U,MHF4U, One additional 4U Math",Yes,N/A,Yes
Food Industry Management,70,6091,24300,"ENG4U,MHF4U,SBI4U,SCH4U ",Yes,N/A,Yes
Human Kinetics,70,6091,24300,"ENG4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",No,N/A,Yes
Management,70,6091,24300,"ENG4U,MHF4U, One additional 4U Math",Yes,N/A,Yes
Marketing Management,70,6091,24300,"ENG4U,MHF4U, One additional 4U Math",Yes,N/A,Yes
Mechanical Engineering,70,6091,24300,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes,N/A,Yes
Software Engineering,70,7046,27282,"ENG4U,MCV4U",Yes,N/A,Yes
Water Resources Engineering,70,7046,27282,"ENG4U,MCV4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes,N/A,Yes
