Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolment,Supplementary_Application
Anthropology,70,6268,20500,"ENG4U,MHF4U,2 of SBI4U/MCVrU/SCH4U/MDM4U/SES4U/SPH4U",No,N/A,No
Applied Life Science,70,6268,20500,"ENG4U,MHF4U,2 of SBI4U/MCVrU/SCH4U/MDM4U/SES4U/SPH4U",No,N/A,No
Arts,70,6268,20500,ENG4U,No,N/A,No
Bioinformatics,70,6268,20500,"ENG4U,MHF4U,SBI4U,SCH4U",No,N/A,No
Biology,70,6268,20500,"ENG4U,MHF4U",No,N/A,No
Business,70,6268,20500,"ENG4U,MHF4U/MCV4U/MDM4U",Yes,N/A,No
Chemistry,70,6268,20500,"ENG4U,MHF4U,SCH4U,SBI4U/MCV4U/MDM4U/SPH4U",No,N/A,No
Common Year Applied Science,70,6268,20500,"SCH3/4U, ENG3/4U,MCF3M/MCR3U,PHC3/4U",No,N/A,No
Computer Science,70,6268,20500,"ENG4U,MHF4U,MCV4U/ICS4U/MDM4U",Yes,N/A,No
Criminology,70,6268,20500,ENG4U,No,N/A,No
Earth Science,70,6268,20500,"ENG4U,Two from MHF4U/SBI4U/MCV4U/SCH4U/MDM4U/SES4U/SPH4U",No,N/A,No
Economics ,70,6268,20500,"ENG4U,MHF4U/MCV4U/MDM4U",No,N/A,No
Education,70,6268,20500,"ENG4U, MHF4U/MCV4U/MDM4U",No,N/A,No
Engineering,70,6268,20500,"ENG4U,MHF4U,SCH4U,SPH4U",Yes,N/A,No
English,70,6268,20500,ENG4U,No,N/A,No
Environment,70,6268,20500,"ENG4U,3 from MHF4U/SBI4U/MCV4U/SCH4U/ISC4U/Geography course/MDM4U/SPH4U",Yes,N/A,No
Forestry,70,6268,20500,"ENG4U,3 from MHF4U/SBI4U/MCV4U/SCH4U/ISC4U/Geography course/MDM4U/SPH4U",Yes,N/A,No
General Arts,70,6268,20500,ENG4U,No,N/A,No
General Science,70,6268,20500,"ENG4U,3 from MHF4U/SBI4U/MCV4U/SCH4U/ISC4U/Geography course/MDM4U/SPH4U",No,N/A,No
Geoarchaelogy,70,6268,20500,"ENG4U,2 from MHF4U/SBI4U/MCV4U/SCH4U/MDM4U/SES4U/SPH4U",No,N/A,No
Geography,70,6268,20500,ENG4U,No,N/A,No
History,70,6268,20500,ENG4U,No,N/A,No
Kinesiology,70,6268,20500,"ENG4U,MHF4U/MCV4U/MDM4U, 2 from SBI4U/SCH4U/PSK4U/SPH4U",Yes,N/A,No
Languages,70,6268,20500,"ENG4U,FEF4U/FIF4U/FSF4U",No,N/A,No
Mathematics,70,6268,20500,"ENG4U,MHF4U,MCV4U/MDM4U ",No,N/A,No
Media Studies,70,6268,20500,ENG4U,No,N/A,Yes
Music,70,6268,20500,ENG4U,No,N/A,Yes
Natural Science,70,6268,20500,"ENG4U,2 from MHF4U/SBI4U/MCV4U/SCH4U/MDM4U/SES4U/SPH4U",No,N/A,No
Nursing,70,6268,20500,"ENG4U,SBI4U/SCH4U/MHF4U/MCV4U/MDM4U",No,N/A,Yes
Philosophy,70,6268,20500,ENG4U,No,N/A,No
Physics,70,6268,20500,ENG4U,No,N/A,No
Political Science,70,6268,20500,"ENG4U,MHF4U/MCV4U/MDM4U",No,N/A,No
Psychology,70,6268,20500,ENG4U,No,N/A,No
Social Work,70,6268,20500,ENG4U,No,N/A,No
Visual Arts,70,6268,20500,ENG4U,No,N/A,Yes 
Women's Studies,70,6268,20500,ENG4U,No,N/A,No
