Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Advertising,70,4235,15676,ENG4U,Yes,N/A,N/A
Creating Writing,70,4235,15676,ENG4U,Yes,N/A,N/A
Criticism & Curatorial Practice,70,4235,15676,ENG4U,Yes,N/A,N/A
Cross-disciplinary Art: Life Studies,70,4235,15676,ENG4U,Yes,N/A,N/A
Cross-disciplinary Art: Publications,70,4235,15676,ENG4U,Yes,N/A,N/A
Digital Futures,70,4235,15676,ENG4U,Yes,N/A,N/A
Drawing & Painting,70,4235,15676,ENG4U,Yes,N/A,N/A
Drawing & Painting: Digital Painting And Expanded Animation,70,4235,15676,ENG4U,Yes,N/A,N/A
Environmental Design,70,4235,15676,ENG4U,Yes,N/A,N/A
Environmental Design: Interior Design Specialization,70,4235,15676,ENG4U,Yes,N/A,N/A
Graphic Design,70,4235,15676,ENG4U,Yes,N/A,N/A
Illustration,70,4235,15676,ENG4U,Yes,N/A,N/A
Indigenous Visual Culture,70,4235,15676,ENG4U,Yes,N/A,N/A
Industrial Design,70,4235,15676,ENG4U,Yes,N/A,N/A
Integrated Media,70,4235,15676,ENG4U,Yes,N/A,N/A
Integrated Media: Digital Painting And Expanded Animation,70,4235,15676,ENG4U,Yes,N/A,N/A
Material Art & Design,70,4235,15676,ENG4U,Yes,N/A,N/A
Photography,70,4235,15676,ENG4U,Yes,N/A,N/A
Printmaking,70,4235,15676,ENG4U,Yes,N/A,N/A
Sculpture/installation,70,4235,15676,ENG4U,Yes,N/A,N/A
Visual And Critical Studies,70,4235,15676,ENG4U,Yes,N/A,N/A
