Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Accounting,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",Yes,N/A,No
Acting (BFA),75,6376,25554,"ENG4U,MCV4U,SPH4U,SBI4U,MHF4U",No,N/A,No
Anthropology and Sociology,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Anthropology,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Art History,75,6376,25554,ENG4U/French4U,No,N/A,No
Arts - Interdisciplinary Studies (3-year or 4-year),75,6376,25554,ENG4U/French4U,No,N/A,No
Biochemistry (BSc) and Chemical Engineering (BASc) (Biotechnology),85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",No,N/A,No
Biochemistry,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Biology,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Biomedical Mechanical Engineering (BASc) and Computing Technology (BSc),85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SBI4U,SCH4U,SPH4U",Yes,N/A,No
Biomedical Mechanical Engineering (BASc),85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SBI4U,SCH4U,SPH4U",Yes,N/A,No
Biomedical Science,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Biopharmaceutical Science,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Business Technology Management,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Chemical Engineering (BASc) and Computing Technology (BSc),85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",No,N/A,No
Chemical Engineering,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",Yes,N/A,No
Chemistry,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Civil Engineering (BASc) and Computing Technology (BSc),85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",No,N/A,No
Civil Engineering,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",Yes,N/A,No
Civil Law (certificate),75,6376,25554,ENG4U/French4U,Yes,N/A,Yes
Civil Law (LLL) and International Development and Globalization (BSocSc),75,6376,25554,ENG4U/French4U,Yes,N/A,Yes
Civil Law (LLL) and Master of Business Administration (MBA),75,6376,25554,ENG4U/French4U,Yes,N/A,Yes
Civil Law (LLL),75,6376,25554,ENG4U/French4U,Yes,N/A,Yes
Commerce (BCom) and Juris Doctor (JD),80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Communication and Political Science (BA),75,6376,25554,ENG4U/French4U,Yes,N/A,No
Communication and Political Science (BSocSc),75,6376,25554,ENG4U/French4U,Yes,N/A,No
Communication and Sociology (BA),75,6376,25554,ENG4U/French4U,Yes,N/A,No
Communication and Sociology (BSocSc),75,6376,25554,ENG4U/French4U,Yes,N/A,No
Communication et lettres françaises,75,6376,25554,ENG4U/French4U,No,N/A,No
Communication,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Computer Engineering,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",Yes,N/A,No
Conflict Studies and Human Rights,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Creative writing (certificate),75,6376,25554,ENG4U/French4U,No,N/A,No
Criminology and Women's Studies,75,6376,25554,ENG4U/French4U,No,N/A,No
Criminology,75,6376,25554,ENG4U/French4U,No,N/A,No
Data Science,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U",No,N/A,No
Digital Journalism,75,6376,25554,ENG4U/French4U,No,N/A,No
Economics and Political Science,75,6376,25554,"ENG4U/French4U,MHF4U",Yes,N/A,No
Economics and Public Policy,75,6376,25554,"ENG4U/French4U,MHF4U",Yes,N/A,No
Economics,75,6376,25554,"ENG4U/French4U,MHF4U",Yes,N/A,No
Electrical Engineering (BASc) and Computing Technology (BSc),85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",Yes,N/A,No
Electrical Engineering,85,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,SCH4U,SPH4U",Yes,N/A,No
English as a Second Language,75,6376,25554,ENG4U/French4U,Yes,N/A,No
English,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Environmental Economics and Public Policy,75,6376,25554,ENG4U/French4U,Yes,N/A,No
Environmental Geoscience,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Environmental Science,80,6376,25554,"ENG4U/French4U,MHF4U,MCV4U,Two of SBI4U/SPH4U/SCH4U",Yes,N/A,No
Environmental Studies,75,6376,25554,ENG4U/French4U,Yes,N/A,No
