University ,World_Ranking
Algoma Univeristy,N/A
Brock University,N/A
Carleton University,651
Lakehead University,N/A
Laurentian University,N/A
McMaster University,140
Nipissing University,N/A
OCAD university,N/A
Queens University,239
Ryerson University,801
Trent University,N/A
University of Guelph,571
University of Hearst,N/A
University of Ontario Institute of Technology(uoit),N/A
University of Ottawa,281
University of Toronto(uoft),29
University of Waterloo,173
University of Windsor,651
Western University ,211
Wilfred Laurier University ,N/A
York University ,511
