Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Accounting & Finance,80-86,7644-8387,25991-26570,"ENG4U/EAE4U,MHF4U,MCV4U",Yes,400,Yes
Architectural Science,80,10153-11163,28882-36610,"ENG4U/EAE4U,SPH4U, One of MCV4U/MHF4U",Yes, ,Yes
Biology,76-85,7044-9586,27279-27659,"ENG4U/EAE4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
Business Management,78-87,9135-9547,28974-31780,"ENG4U/EAE4U, One of MHF4U/MCV4U/MDM4U",Yes, ,Yes
Chemistry,73-77,7044-9586,27279-27659,"ENG4U/EAE4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
Civil Engineering,80-85,10153-11163,28882-36610,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes, ,Yes
Computer Engineering,80-89,10153-11163,28882-36610,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes, ,No
Computer Science,82-90,7044-9586,27279-27659,"ENG4U/EAE4U,MHF4U, One of SPH4U/SCH4U/SBI4U, One of MCV4U/MDM4U",Yes, ,Yes
Electrical Engineering,80-85,10153-11163,28882-36610,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes, ,Yes
Financial Mathematics,72-75,7044-9586,27279-27659,"ENG4U/EAE4U,MHF4U,One of MCV4U/MDM4U, One of SPH4U/SCH4U/SBI4U",Yes, ,Yes
History,72-74,7046-7126,27282-27627,ENG4U/EAE4U,No, ,Yes
Image Arts: Film Studies,76,7049-7770,27284-27904,ENG4U/EAE4U,No, ,Yes
International Economics and Finance,73-76,7046-7126,27282-27627,"ENG4U/EAE4U, One of MHF4U/MCV4U/MDM4U",No, ,Yes
Mathematics and its Applications,72-75,7044-9586,27279-27659,"ENG4U/EAE4U,MHF4U, One of SPH4U/SCH4U/SBI4U, One of MCV4U/MDM4U",Yes, ,Yes
Mechanical Engineering,80-87,10153-11163,28882-36610,"ENG4U/EAE4U,MHF4U,SPH4U,SCH4U,MCV4U",Yes, ,Yes
Medical Physics,72-74,7044-9586,27279-27659,"ENG4U/EAE4U,MHF4U, Two of SBI4U/SCH4U/SPH4U",Yes, ,Yes
Nursing,90-93,7095-7598,27218-28510,"ENG4U/EAE4U,SBI4U,SCH4U, One of MCF3M/MCR3U/MCV4U/MDM4U/MHF4U",Yes, ,Yes
Philosophy,73-76,7046-7126,27282-27627,ENG4U/EAE4U,No, ,Yes
Politics and Governance,75-80,7046-7126,27282-27627,ENG4U/EAE4U,No, ,Yes
Psychology,83-88,7046-7126,27282-27627,ENG4U/EAE4U,No, ,Yes
Sociology,77-80,7046-7126,27282-27627,ENG4U/EAE4U,No, ,Yes
Urban and Regional Planning,75-82,7095-7598,27218-28510,"ENG4U/EAE4U,HFA4M/HHS4M/HHG4M/HSB4M/HZT4U,CIA4U,CGW4U/CGU4U/CHI4U/CHY4U/CLN4U/CPW4U,SBI4U/SCH4U/SPH4U/SES4U,MHF4U/MCV4U/MDM4U",No, ,Yes
