Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements ,Co-op,Target_Enrolment,Supplementary_Application
Anthropology,70,3292,37532,"ENG4U, One 4U math course",No,N/A,No
Arts & Science,75,3292,37532,"ENG4U, One 4U math course",No,N/A,No
Biology,70,3292,37532,"ENG4U,SBI4U,SCH4U, One 4U math course",No,N/A,No
Business Administration,70,3292,37532,"ENG4U/EAE4U, One of MHF4U/MCV4U",No,N/A,No
Chemical Physics,70,3292,37532,"ENG4U,SCH4U and MHF4U/MCV4U",No,N/A,No
Chemistry,70,3292,37532,"ENG4U,SCH4U and MHF4U/MCV4U",No,N/A,No
Computer Science,70,3292,37532,"ENG4U, One 4U math course",Yes,12,No
Conservation Biology,75,3292,37532,"ENG4U,MHF4U/MCV4U,SCH4U and SBI4U",Yes,25,No
Economics,70,3292,37532,"ENG4U, One 4U math course",No,N/A,No
Environmental & Resource Science / Studies,70,3292,37532,"OSSD ENG4U,SBI4U,SCH4U, One 4U math course",No,N/A,No
Environmental Chemistry,70,3292,37532,"ENG4U,ENG4U,SCH4U,MHF4U/MCV4U",No,N/A,No
Financial Analytics,72,3292,37532,"ENG4U,MHF4U/MCV4U",No,N/A,No
Forensic Science,75,3292,37532,"ENG4U,SBI4U,SCH4U,MHF4U/MCV4U",No,80,No
Kinesiology,70,3292,37532,"ENG4U,SBI4U,SCH4U, One of MHF4U/MCV4U/MDM4U",No,60,No
Mathematics,70,3292,37532,"ENG4U,MHF4U/MCV4U",No,N/A,No
Nursing,75,3292,37532,"ENG4U,SBI4U,SCH4U, One 4U math course",No,120,No
Physics,70,3292,37532,"ENG4U,MHF4U/MCV4U",No,N/A,No
Philosophy,70,3292,37532,"ENG4U, One 4U math course",No,N/A,No
Psychology,70,3292,37532,"OSSD,ENG4U, One 4U math course",No,N/A,No
Science (Honours),70,3292,37532,"OSSD,ENG4U",No,N/A,No
Sociology,70,3292,37532,"OSSD,ENG4U",No,N/A,No
Sustainable Agriculture & Food Systems,70,3292,37532,"ENG4U,SBI4U, One 4U math course",No,N/A,No
