Programs,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolment,Supplementary_Application
Arts and Humanities,Low to Mid 80s,7704,33332,ENG4U,No,N/A,No
Fine Arts and Studio,Low 80s,7704,33332,ENG4U,No,N/A,Yes
Engineering,High 80s,14048,43702,"ENG4U,MHF4U,MCV4U,SCH4U, SPH4U",Yes,N/A,No
Health Science,High 80s,7754,33382,"ENG4U, SBI4U And one of: MHF4U, MCV4U, MDM4U",No,N/A,No
Kinesilogy,Mid 80s,7754,33382,"ENG4U, SBI4U, SCH4U",No,N/A,No
Nursing,High 80s to Low 90s,7754,42176,"ENG4U, SBI4U, SCH4U, MCF3M, MCR3U",No,N/A,No
Media Information and Technology,Low to Mid 80s,7704,33332,ENG4U,No,N/A,No
Music (BMUS),Low 80s,7754,33382,ENG4U,No,N/A,Yes
Music (BA),Low 80s,7754,33382,ENG4U,No,N/A,Yes
Music Administrative Studies (BA),Low 80s,7754,33382,"ENG4U,MHF4U, MCV4U, MDM4U",No,N/A,Yes
Medical Science,Low 90s,7729,33357,"ENG4U, MCV4U, SBI4U, SCH4U",No,N/A,No
Science,Mid 80s,7729,33357,"ENG4U, MCV4U,And two of MHF4U, SBI4U, SCH4U, SPH4U, SES4U, ICS4U",No,N/A,No
Food and Nutrition,Mid to High 80s,7729,33357,"ENG4U, SBI4U, SCH4U, one of MCF3M, MCR3U",No,N/A,No
Social Science,Mid 80s,7704,33332,ENG4U,No,N/A,No
Management and Organizational Studies,Mid to High 80s,7704,33332,"ENG4U, Two of MHF4U, MCV4U, MCV4U",No,N/A,No
Commercial Aviation Management,Low to Mid 80s,7704,33332,"ENG4U, two of MHF4U, MCV4U, MCV4U",No,N/A,Yes
