Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Actuarial Science,High 70s to Low 80s,6981,29496,"ENG4U/MHF4U,four additional 4U or M courses",No,N/A,No
African Studies,Mid 80s,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Antropology,Mid 70s,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Applied Mathematics (BA),High 70s to Low 80s,6981,29496,ENG4U/MHF4U,No,N/A,No
Applied Mathematics (BSc),High 70s to Low 80s,6981,29496,"ENG4U,MHF4U, SBI4U/CH4U/SPH4U",No,N/A,No
Art History,Mid 70s,6981,29496,"ENG4U, five additional 4U or M courses",No,N/A,No
Bachelor of Education,70,6981,29496,ENG4U,No,N/A,No
Biochemistry,Low to Mid 80s,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U, MCV4U, one 4U or M courses",Yes,N/A,No
Biology,Low to Mid 80s,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U, two additional 4U or M ",No,N/A,No
Biomedical Science,Low to Mid 80s,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U , two additional 4U or M courses",No,N/A,No
Biophysics,High 70s to Low 80s,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U, MCV4U",No,N/A,No
Biotechnology,Low to Mid 80s,6981,29496,"ENG4U, SBI4U, SCH4U, MHF4U",Yes,N/A,No
Business and Society,Mid 70s,9653,31483,"ENG4U, five additional 4U or M courses",No,N/A,No
Business Administration,High 80s to Low 90s,9653,31483,"ENG4U, MHF4U, MCV4U/MDM4U, Three 4U or M courses",No,N/A,No
Business and Economics,Mid to High 70s,9653,31483,"ENG4U, MHF4U",No,N/A,No
Canadian Studies,Mid to High 70s,6981,29496,"ENG4U/FRA4U, Five more 4U or M courses",No,N/A,No
Chemistry,High 70s to Low 80s,6981,29496,"ENG4U, MHF4U, SCH4U, One 4M/U science",Yes,N/A,No
