Program,Admission_Average,Local_Tuition,International_Tuition,Requirements,Co-op,Target_Enrolloment,Supplementary_Application
Actuarial Science,75-84,"6,980.7","29,495.7","ENG4U
 MHF4U
 And four additional 4U or M courses",No,N/A,N/A
African Studies,85,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Antropology,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Applied Mathematics (BA),75-84,"6,980.7","29,495.7","ENG4U
 MHF4U
 And four additional 4U or M courses",No,N/A,N/A
Applied Mathematics (BSc),75-84,"6,980.7","29,495.7","ENG4U
MHF4U                                                            SBI4U or SCH4U or SPH4U
 And three additional 4U or M courses",No,N/A,N/A
Art History,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Bachelor of Education,N/A,"6,980.7","29,495.7",Supplementary Application,No,N/A,"Experience profile
Experience summary
Personal statement
Letter of recommendation
"
Biochemistry,80-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U, MCV4U
And one additional 4U or M courses:
SPH4U (recommendation)",Yes,N/A,N/A
Biology,80-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U   And two additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Biomedical Science,80-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U   And two additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Biophysics,75-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U, MCV4U
And one additional 4U or M courses:
SPH4U (recommendation)",No,N/A,N/A
Biotechnology,80-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U   And two additional 4U or M courses:
SPH4U (recommendation)",Yes,N/A,N/A
Business and Society,75,"9,653.4","31,483","ENG4U, five additional 4U or M courses",No,N/A,N/A
Business Administration,85-94,"9,653.4","31,483","ENG4U (minimum grade of 70% required)
MHF4U (minimum grade of 70% required)
MCV4U or MDM4U (MCV4U recommended)
And three additional 4U or M courses (no more than two 4M courses)",No,N/A,"leadership profile, video interview and timed writing exercise"
Business and Economics,75-79,"9,653.4","31,483","ENG4U, MHF4U
And four additional 4U or M courses: MCV4U (recommendation)",No,N/A,N/A
Canadian Studies,75-79,"6,980.7","29,495.7","ENG4U or FRA4U
And five additional 4U or M courses:
4U French (recommendation)",No,N/A,N/A
Chemistry,75-84,"6,980.7","29,495.7","ENG4U, MHF4U, SCH4U
One additional 4U or M science
And two additional 4U or M courses:
MCV4U, SPH4U (recommendation)",Yes,N/A,N/A
"Children, Childhood and Youth",75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Cinema and Media Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Civil Engineering,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Computer Engineering,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Electrical Engineering,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Engineering and International Development Studies,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Geomatics Engineering,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Mechanical Engineering,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Software Engineering,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Space Engineering,80-84,"10,550.4","35,419","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
And one additional 4U or M courses
No prerequisite below 70%",Yes,N/A,N/A
Classical Studies and Classics,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Cognitive Science,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Commerce,80-84,"9,595.8","31,424","ENG4U
MHF4U
And four additional 4U or M courses",No,N/A,N/A
Communication Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Computer Science,80-84,"9,595.8","28,437","ENG4U, MHF4U
4U math (MCV4U recommended)
And three additional 4U or M courses
A minimum math average of 75% and no math grade below 65%",No,N/A,N/A
Computer Security,80-84,"9,595.8","28,437","ENG4U, MHF4U
4U math (MCV4U recommended)
And three additional 4U or M courses
A minimum math average of 75% and no math grade below 65%",No,N/A,N/A
Criminology,80-84,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Culture and Expression,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Dance,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
Design,85,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
Digital Media,75,"6,980.7","29,495.7","ENG4U
 4U math (minimum grade of 75% required)
And four additional 4U or M courses:
4M arts (recommendation)",No,N/A,N/A
Disaster and Emergency Management,75,"6,980.7","29,495.7","ENG4U, MHF4U or MDM4U
And four additional 4U or M courses",No,N/A,N/A
Drama Studies,75-79,"6,980.7","29,495.7","ENG4U or FRA4U
And five additional 4U or M courses:
4U French (recommendation)",No,N/A,N/A
Earth and Atmospheric Science,75-79,"6,980.7","29,495.7","ENG4U, SPH4U, MHF4U, MCV4U
And two additional 4U or M courses:
SCH4U (Highly recommended)",No,N/A,N/A
East Asian Studeis,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Economics,75-79,"6,980.7","29,495.7","ENG4U, MHF4U
And four additional 4U or M courses: MCV4U (recommendation)",No,N/A,N/A
Ecosystem and Management,75-79,"6,980.7","29,495.7","ENG4U
Grade 12, 4U Mathematics is recommended
And five additional 4U or M courses",No,N/A,N/A
Educational Studeis,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
English,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
English and Professional Writing,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
English Studies,75-79,"6,980.7","29,495.7","ENG4U or FRA4U
And five additional 4U or M courses:
4U French (recommendation)",No,N/A,N/A
Environmental Biology,80-84,"6,980.7","29,495.7","ENG4U, SBI4U, SCH4U, MHF4U
And two additional 4U or M courses:
SPH4U (recommendation)",Yes,N/A,N/A
Environmental Science (Life Science),75-84,"6,980.7","29,495.7","ENG4U, MHF4U, SBI4U, SCH4U
And two additional 4U or M courses:
SPH4U (recommendation)",Yes,N/A,N/A
Environmental Science (Physical Science),75-84,"6,980.7","29,495.7","ENG4U, SCH4U, SPH4U, MHF4U, MCV4U
 And one additional 4U or M courses",Yes,N/A,N/A
Environmental Studies,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Environmental Technology,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Film Production,85,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
Media Arts,85,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
Screen Writing,85,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,Required
Financial and Business Economics,75,"6,980.7","29,495.7","ENG4U, MHF4U
And four additional 4U or M courses:
MCV4U (recommendation)",No,N/A,N/A
French Studies,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Gender and Women’s Studies,75-79,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Geography (Liberal Arts),75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Geography (Science),75-84,"6,980.7","29,495.7","ENG4U
4U math (MHF4U recommended)
SCH4U or SPH4U
And three additional 4U or M courses",No,N/A,N/A
Geography and Urban Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
German Studies,75,"6,980.7","29,495.7","ENG4U, five additional 4U or M courses",No,N/A,N/A
Global Health,75-84,"6,980.7","29,495.7","ENG4U, 4U math
SBI4U or SCH4U or SPH4U
And three additional 4U or M courses",No,N/A,N/A
